Ano;Cód Area;Área;Cód. IES;Nome da IES;Cod. Município;Nome do Município;UF do Curso;Inscritos;Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Nota Bruta - Geral;Nota Padronizada - Geral;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2014;21;ARQUITETURA E URBANISMO;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;5103403;CUIABA;MT;42;40;"67,4";"3,8";"54,9";"4,1";58;"4,2";"4,052";5;
2014;21;ARQUITETURA E URBANISMO;2;UNIVERSIDADE DE BRASÍLIA;5300108;BRASILIA;DF;123;111;"60,7";"2,9";"51,7";"3,6";54;"3,4";"3,395";4;
2014;21;ARQUITETURA E URBANISMO;3;UNIVERSIDADE FEDERAL DE SERGIPE;2803609;LARANJEIRAS;SE;60;39;"54,5";2;"43,5";"2,1";"46,3";"1,9";"2,071";3;
2014;21;ARQUITETURA E URBANISMO;4;UNIVERSIDADE FEDERAL DO AMAZONAS;1302603;MANAUS;AM;17;17;"67,3";"3,8";"51,6";"3,5";"55,5";"3,7";"3,604";4;
2014;21;ARQUITETURA E URBANISMO;5;UNIVERSIDADE FEDERAL DO PIAUÍ;2211001;TERESINA;PI;26;17;"63,2";"3,2";"52,1";"3,6";"54,9";"3,5";"3,535";4;
2014;21;ARQUITETURA E URBANISMO;6;UNIVERSIDADE FEDERAL DE OURO PRETO;3146107;OURO PRETO;MG;51;47;"67,4";"3,8";"51,5";"3,5";"55,5";"3,7";"3,595";4;
2014;21;ARQUITETURA E URBANISMO;8;UNIVERSIDADE FEDERAL DE VIÇOSA;3171303;VICOSA;MG;25;22;"64,6";"3,4";"52,8";"3,8";"55,8";"3,7";"3,678";4;
2014;21;ARQUITETURA E URBANISMO;9;UNIVERSIDADE ESTADUAL DE LONDRINA;4113700;LONDRINA;PR;62;59;"63,9";"3,3";"48,2";"2,9";"52,1";3;"3,028";4;
2014;21;ARQUITETURA E URBANISMO;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;4106902;CURITIBA;PR;173;167;"54,2";2;"45,1";"2,4";"47,4";"2,1";"2,283";3;
2014;21;ARQUITETURA E URBANISMO;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;2611606;RECIFE;PE;79;73;"48,3";"1,2";"40,9";"1,6";"42,7";"1,2";"1,502";2;
2014;21;ARQUITETURA E URBANISMO;13;UNIVERSIDADE DE CAXIAS DO SUL;4305108;CAXIAS DO SUL;RS;120;115;"59,6";"2,7";"46,8";"2,7";50;"2,6";"2,699";3;
2014;21;ARQUITETURA E URBANISMO;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;4318705;SAO LEOPOLDO;RS;144;138;"60,6";"2,9";"46,3";"2,6";"49,9";"2,6";"2,667";3;
2014;21;ARQUITETURA E URBANISMO;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;3170206;UBERLANDIA;MG;26;25;"68,9";4;"59,2";"4,9";"61,6";"4,8";"4,68";5;
2014;21;ARQUITETURA E URBANISMO;18;UNIVERSIDADE CATÓLICA DE PELOTAS;4314407;PELOTAS;RS;37;35;"60,3";"2,8";"48,1";"2,9";"51,2";"2,8";"2,896";3;
2014;21;ARQUITETURA E URBANISMO;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;3509502;CAMPINAS;SP;152;148;"61,3";3;"44,7";"2,3";"48,9";"2,4";"2,474";3;
2014;21;ARQUITETURA E URBANISMO;20;UNIVERSIDADE DE PASSO FUNDO;4314100;PASSO FUNDO;RS;131;121;"56,1";"2,3";"42,2";"1,9";"45,7";"1,8";"1,957";3;
2014;21;ARQUITETURA E URBANISMO;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;4314902;PORTO ALEGRE;RS;159;155;"57,1";"2,4";"48,3";"2,9";"50,5";"2,7";"2,802";3;
2014;21;ARQUITETURA E URBANISMO;22;UNIVERSIDADE PRESBITERIANA MACKENZIE;3550308;SAO PAULO;SP;328;307;"65,8";"3,6";51;"3,4";"54,7";"3,5";"3,473";4;
2014;21;ARQUITETURA E URBANISMO;23;UNIVERSIDADE FEEVALE;4313409;NOVO HAMBURGO;RS;74;72;"54,5";2;"41,6";"1,8";"44,9";"1,6";"1,823";2;
2014;21;ARQUITETURA E URBANISMO;43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;4209409;LAGUNA;SC;106;96;"64,8";"3,5";"52,8";"3,8";"55,8";"3,7";"3,686";4;
2014;21;ARQUITETURA E URBANISMO;47;UNIVERSIDADE ESTADUAL DE GOIÁS;5201108;ANAPOLIS;GO;105;99;"61,3";3;"48,3";3;"51,6";"2,9";"2,959";4;
2014;21;ARQUITETURA E URBANISMO;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;3509502;CAMPINAS;SP;65;60;3;0;2;0;"2,3";0;0;1;
2014;21;ARQUITETURA E URBANISMO;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;3506003;BAURU;SP;52;43;"57,8";"2,5";"47,3";"2,8";"49,9";"2,6";"2,697";3;
2014;21;ARQUITETURA E URBANISMO;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;3541406;PRESIDENTE PRUDENTE;SP;52;46;"66,4";"3,7";57;"4,5";"59,4";"4,4";"4,305";5;
2014;21;ARQUITETURA E URBANISMO;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;4115200;MARINGA;PR;43;43;"57,8";"2,5";"48,4";3;"50,7";"2,7";"2,845";3;
2014;21;ARQUITETURA E URBANISMO;76;UNIVERSIDADE REGIONAL DE BLUMENAU;4202404;BLUMENAU;SC;70;67;"56,3";"2,3";"45,2";"2,4";48;"2,2";"2,357";3;
2014;21;ARQUITETURA E URBANISMO;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;4217204;SAO MIGUEL D´OESTE;SC;49;48;"56,8";"2,3";"43,7";"2,1";47;2;"2,181";3;
